id,created_at,text
1252265256765849606,2020-04-20 15:57:57,Americans are so fucking stupid.
1252254135027712004,2020-04-20 15:13:46,Imagine we don't get a summer....
1252233951667720192,2020-04-20 13:53:34,God I hate Vagets
1252233861590728705,2020-04-20 13:53:12,Naruto &gt; My Hero
1252224029701935104,2020-04-20 13:14:08,Is I don’t have abs at the end of this I’m gonna kill myself.
1252223891570909186,2020-04-20 13:13:35,Scary to think how easily American are manipulated.
1252223821119131648,2020-04-20 13:13:18,My heart goes out to the kids that worked so hard for a degree just to not get a convocation
1251218787430432773,2020-04-17 18:39:40,Fuck White People!
1250883983828815872,2020-04-16 20:29:16,I need to start reading again
1250883942510714880,2020-04-16 20:29:06,I’m starting to lose my vocabulary.
1250279739207507968,2020-04-15 04:28:13,"UOttawa’s all about taking that shit, but no when it’s coming back around eh."
1250279640070930432,2020-04-15 04:27:49,Why didn’t I get my March parking pass money back
1250279354723995648,2020-04-15 04:26:41,This stupid KungFlu #ChineseFlu
1250278807476432897,2020-04-15 04:24:31,Plus slavery was so much more worse.
1250278763134214144,2020-04-15 04:24:20,The Jews are doing worse to muslim now.
1250278727763685380,2020-04-15 04:24:12,The holocaust isn’t as bad as they make it out to seem.
1250262186636779520,2020-04-15 03:18:28,Trump is plain ugly
1250262136086876160,2020-04-15 03:18:16,Trudeau isn’t even good looking
1250261941412663296,2020-04-15 03:17:30,Why do people act like stupid children
1250261866116517888,2020-04-15 03:17:12,Why do men act like women sometimes
1250260817670479873,2020-04-15 03:13:02,There’s a homeless guy I see and I always give him Monopoly money
1250260702893350912,2020-04-15 03:12:34,I have a talking tree in my backyard
1250260658903539712,2020-04-15 03:12:24,Unicorns exist
1250260610522189824,2020-04-15 03:12:12,The earth is flat
1250260356079013888,2020-04-15 03:11:12,I wanna hit someone in the head with a pan like rapunzel did in the movie
1250260215544627200,2020-04-15 03:10:38,If you are weak you deserve to die
1250260114189225984,2020-04-15 03:10:14,Guys it’s just survival of the fittest
1250259994827788293,2020-04-15 03:09:46,Could people just stop being sick already
1250259941086171136,2020-04-15 03:09:33,Corona virus is fake
1250259807283617792,2020-04-15 03:09:01,Imagine being a dragon
1250258075484905473,2020-04-15 03:02:08,Nothing like a good screaming match with a 16 year old to make you feel young again
1250257756092858371,2020-04-15 03:00:52,Imagine being pregnant with your ex’s baby #abortit
1250257605907415040,2020-04-15 03:00:16,Sometimes for no reason at all I have the urge to stab people
1250257483773497344,2020-04-15 02:59:47,Why do we exist
1250257440958013441,2020-04-15 02:59:37,Nothing is cuter than my cat
1250257263778021376,2020-04-15 02:58:54,I got threatened today
1250257140020805635,2020-04-15 02:58:25,I filled up the tub and then drained it just to waste water for fun because I’m bored
1250256936223887360,2020-04-15 02:57:36,So many good looking people and yet so many ugly people
1250256775397486593,2020-04-15 02:56:58,We should put all the stupid people on an in island to be stroud together
1250256678488018946,2020-04-15 02:56:35,NETFLIX COOPERATE PLEASE
1250256634552688641,2020-04-15 02:56:24,Too many people home my internet is so slow I can’t watch Harry Potter :(
1250256419334602753,2020-04-15 02:55:33,My nose is really itchy
1250256372345733120,2020-04-15 02:55:22,THE PIDGEONS SHIT EVERYWHERE
1250256329744306176,2020-04-15 02:55:12,The pidgeons in my balcony have 3 babies
1250256226543419394,2020-04-15 02:54:47,Maynards sour patch kids are so good
1250256170515914752,2020-04-15 02:54:34,The demons in the attic need to stop talking
1250256061304627205,2020-04-15 02:54:08,Magic is real
1250256034507210752,2020-04-15 02:54:01,I have too many plants
1250256007240060928,2020-04-15 02:53:55,My rose bush is not cooperating!
1250255962793029635,2020-04-15 02:53:44,Naked mole rats are weird
1250255893985361920,2020-04-15 02:53:28,I want chicken nuggets
1250255824313819136,2020-04-15 02:53:11,How can someone be so stupid and live for so long???
1250255744588492806,2020-04-15 02:52:52,Why do people have kids ???
1250255702121218048,2020-04-15 02:52:42,Children are so annoying
1250255668621213699,2020-04-15 02:52:34,I hate children
1250252029341110274,2020-04-15 02:38:07,Another Dub.
1250150727500079109,2020-04-14 19:55:34,Why do teachers think it’s good idea to put shit on a final that’s not even in the text book???
1250150588836388865,2020-04-14 19:55:01,I spent 8 hours writing a final yesterday that was supposed to be “short”
1249422689758064645,2020-04-12 19:42:37,There’s been an over correction.
1249422653670199299,2020-04-12 19:42:28,"We need to get rid of unions, they don’t do anything anymore."
1249422582408974337,2020-04-12 19:42:11,I think we can cut Federal Employees but ~20% .
1249329649777336320,2020-04-12 13:32:54,First back to back wins in BR. #ComeAtMe
1249329535042105345,2020-04-12 13:32:27,I need to sleep more.
1249057831795527681,2020-04-11 19:32:48,Build that wall!
1249051669574361089,2020-04-11 19:08:18,Fuck Tim Hortons.
1249015541504847873,2020-04-11 16:44:45,Jet fuel don’t melt steel beams.
1249015369274179586,2020-04-11 16:44:04,They already found the cure to cancer.
1249015327826030592,2020-04-11 16:43:54,"9/11 was an inside job, wake up you fucking sheep."
1249015264215269377,2020-04-11 16:43:39,Pigeons are actually government drones.
1249015209190141952,2020-04-11 16:43:26,5G causes Corona.
1248968986697613313,2020-04-11 13:39:45,A&amp;W is so good.
1248968854757310467,2020-04-11 13:39:14,I don’t want to study. I want to binge watch the marvellous mrs maisel.
1248968285758140416,2020-04-11 13:36:58,The Invisible Enemy will soon be in full retreat! - Trump .... WTF DOES THIS EVEN MEAN
1248967909331873793,2020-04-11 13:35:28,Stupid pigeons making a mess in my balcony
1248967836204257282,2020-04-11 13:35:11,I want someone to make me breakfast
1248967773348401153,2020-04-11 13:34:56,I fucking hate studying at home
1248967730306453505,2020-04-11 13:34:46,I have an exam Monday
1248965155901358080,2020-04-11 13:24:32,"Uni wilding, just pass everyone and let us live."
1248810996816318469,2020-04-11 03:11:58,Perfect time to get a dog.
1248810891249844224,2020-04-11 03:11:32,Shit.
1248363552865468420,2020-04-09 21:33:59,God COD servers are so shit.
1248318199675916289,2020-04-09 18:33:46,Grocery shopping with all these paranoid people is so fun.
1248318111532683277,2020-04-09 18:33:25,I love my little plants
1248318071514726400,2020-04-09 18:33:15,Why can’t I just have a normally functioning brain?
1248318006138146821,2020-04-09 18:32:59,Fuck ADHD / ADD
1248111065180889088,2020-04-09 04:50:41,"I don’t want to talk, I’m just tryna fuck."
1248004812798492672,2020-04-08 21:48:28,I like little plants they’re s cute :)
1248004754963234817,2020-04-08 21:48:15,WHY IS CANADAS WEATHER SO FUCKING BIPOLAR
1248004684196896768,2020-04-08 21:47:58,What kind of a dumbass doesn’t know how to jumpstart a car??
1248004551258427392,2020-04-08 21:47:26,White people are the worst.
1247976343071084546,2020-04-08 19:55:21,Why did Bernie drop out of the presidential campaign?
1247971732083875840,2020-04-08 19:37:01,School should be illegal during a pandemic.
1247887773991723016,2020-04-08 14:03:24,I swear if this bitch screws me over.
1247683991358111747,2020-04-08 00:33:39,Why is Walmart out here still selling PS3 controllers by the PS4...shit doesn’t even work with PS4
1247625111441682432,2020-04-07 20:39:40,God couldn’t have killed us off at the beginning of my degree.
1247625000745676804,2020-04-07 20:39:14,I’d be pissed if this is the end of the world and all I did was fucking study for the last 4 years....smh
1247597242057461761,2020-04-07 18:48:56,Men are trash
1247597023362236424,2020-04-07 18:48:04,Wooooo I get an open book exam!
1247596940877062146,2020-04-07 18:47:44,What is the point of having a thermostat with no off button? #itstoohot
1247596787109629954,2020-04-07 18:47:07,My cat is really stupid
1247596756398981122,2020-04-07 18:47:00,My cat is cute.
1247548819107086341,2020-04-07 15:36:31,"People need to stay the fuck inside, so we can have a summer."
1247260896692523008,2020-04-06 20:32:25,My hairless cat looks like a demon sometimes.
1247260764588687360,2020-04-06 20:31:53,My hand hurts from writing notes.
1247260568857296897,2020-04-06 20:31:07,Orange is a pretty colour.
1247258681038835714,2020-04-06 20:23:37,"My cat has a million places to sit, yet she’s on my chair while I’m tying to study."
1247258527942488064,2020-04-06 20:23:00,I want Popeyes
1247240951271219201,2020-04-06 19:13:10,Who needs to go outside when you have animal crossing
1247240905943384064,2020-04-06 19:12:59,Girl belong in the kitchen
1247236095315673094,2020-04-06 18:53:52,We need to take French off the national language.
1247211566648438784,2020-04-06 17:16:24,God I hate cardio.
1247036099844878339,2020-04-06 05:39:09,The wife fucking cheats on her husband and the husband isn’t even phased. #contagionmovie
1247035910971105282,2020-04-06 05:38:24,Also the chick got kidnapped and then we never see her again till the end... what was that story arc.
1247035819887595521,2020-04-06 05:38:02,How dumb do they think we are.
1247035680473178113,2020-04-06 05:37:29,You’re telling me the girl just stabbed herself with the vaccine and cuz it worked on her they approved it for use on everyone....smh
1247030161515728899,2020-04-06 05:15:33,What a shit movie. #Contagion
1247030109070143491,2020-04-06 05:15:21,Contagion wasn’t even good.
1246977402938540038,2020-04-06 01:45:55,My sleep schedule is fucked
1246933178352373760,2020-04-05 22:50:11,Too many people in this one house.
1246917752830545924,2020-04-05 21:48:53,I miss the gym.
1246898961614594056,2020-04-05 20:34:13,At least it stopped raining.
1246898485120643074,2020-04-05 20:32:19,I think Swifties are so dumb.
1246896965465640963,2020-04-05 20:26:17,Speeding tickets are a crash grab.
1246896284855869440,2020-04-05 20:23:35,Man Corona is so fucking dumb.
1246895918454054914,2020-04-05 20:22:07,Hello UOttawa!
