id,created_at,text
1245029990485409795,2020-03-31 16:47:35,"Didn’t put it past the boi, I’m not surprised lmao https://t.co/8bDkogxeXW"
1243129848735948803,2020-03-26 10:57:06,@antwonruff I love it tbh
1241056395073597441,2020-03-20 17:37:56,Hella bitch made https://t.co/7zTrP7zVq3
1240978751372042241,2020-03-20 12:29:25,@antwonruff Watch the 4K turn to 16 K infections by the end of the weekend if lucky...
1235544174587342849,2020-03-05 12:34:21,"Good Morning everyone!
Here’s a vid to sip your coffee with https://t.co/d3OZ6v3utN"
1221583379856052225,2020-01-26 23:59:08,https://t.co/l6Hl0KybnH
1220737934753705985,2020-01-24 15:59:38,"Lil Nas X and Roddy Rich ==
Bizarro and Superman"
1214137850167537664,2020-01-06 10:53:15,@antwonruff Same start to the new year right here https://t.co/tP9sYJutCl
1208756030227783683,2019-12-22 14:27:49,"@Sec215 @Ricky_amandeo8 The answer is yes, Marial Shayok is that spark needed"
1207382418354782209,2019-12-18 19:29:35,@ivnnnn_ @thepalladium @torylanez Tmr I think
1203369127651487744,2019-12-07 17:42:12,@JeffWalder @sixers @MarialShayok Hater
1199314939741122563,2019-11-26 13:12:18,"@CineplexMovies Queen and Slim, why isn’t that playing at the theatres tmr?????"
1199314690171703298,2019-11-26 13:11:18,Why can’t we see Queen and Slim at Lansdowne Cineplex????????
1194078931479146497,2019-11-12 02:26:16,@Cameron_2523 @MarialShayok @NBA @sixers 42!
1194058672030322690,2019-11-12 01:05:46,20 point half no 🧢 https://t.co/qm3cp5Pkj0
1194058499329839105,2019-11-12 01:05:05,@rj_franzen @blue_coats @christianacare @xaviermunford @haywood24_7 @zhaire_smith @NorvelPelle05 @MarialShayok @nbagleague https://t.co/XPNy6WOAk2 *****
1194058379746000896,2019-11-12 01:04:36,@rj_franzen @blue_coats @christianacare @xaviermunford @haywood24_7 @zhaire_smith @NorvelPelle05 @MarialShayok @nbagleague https://t.co/bAFxBfTITi!
1193566494795468800,2019-11-10 16:30:02,@TriguerosAngelo @BlueRouteTPL https://t.co/bAFxBfTITi streams the games for the g league
1193351124251807744,2019-11-10 02:14:14,@thomastittley facts
1193350719446933505,2019-11-10 02:12:37,"34/6/4 @MarialShayok 

hi @sixers"
1180888288896393216,2019-10-06 16:51:22,Agreed https://t.co/lcpP3YyZai
1171788749442826241,2019-09-11 14:13:03,"Internet 1
Prez - https://t.co/yqPzGBtJ45"
1148024509666078722,2019-07-08 00:22:27,"this is a COMPLETE steal, congrats @sixers !

Ball out @MarialShayok https://t.co/d4LLKdZxFx"
1147577845503463424,2019-07-06 18:47:33,"Even better, Sherane AKA “the hoodrat who RATTED me out”"
1147577564178845696,2019-07-06 18:46:26,"Even better, Sherane AKA “the snitch”"
1147577285018603520,2019-07-06 18:45:20,I was today years old when I realized that Sherane AKA “Master Splinter’s Daughter” == Sherane AKA “HOODRAT”
1147272747099262977,2019-07-05 22:35:12,@MarialShayok keep eating keep eating
1142427886751813632,2019-06-22 13:43:28,This. https://t.co/WWQggeoUWU
1141935448312430592,2019-06-21 05:06:41,"I’m a 76ers fan now y’all 

The family made it!
@MarialShayok

@sixers @JoelEmbiid"
1139515486205595648,2019-06-14 12:50:37,"Tryouts Fall 2019 for schools across the country will consist of the same kids doing it since youth &amp; Toronto Raptors fans trying to pull up from the 3 point line

What a time to be a coach"
1006924081898381312,2018-06-13 15:39:43,@kanyewest Release this on Fortnite
1002401140926046209,2018-06-01 04:07:10,@antwonruff https://t.co/9z9xBW3HAn
1002394181283799041,2018-06-01 03:39:31,Draymond Meme
1002354088602939398,2018-06-01 01:00:12,Name a debut R&amp;B album better than Chris Brown 🤔
1001681905807392768,2018-05-30 04:29:11,@drewnjue it’s been an interesting week for hip hop
1001681176405401600,2018-05-30 04:26:17,@drewnjue This is real!!?!
948293954553958400,2018-01-02 20:44:31,"@madeintyo looks like @kendricklamar’s little bro, Kilobyte Lamar"
943233025516679168,2017-12-19 21:34:12,"man, it could've worked if you didnt tell us this in advance fam https://t.co/VLLh1Rl3AN"
942415125348315136,2017-12-17 15:24:09,@antwonruff The force is so hurt rn
942100586039861248,2017-12-16 18:34:17,@AananR Thx g https://t.co/Y3QQQft1Yr
941141254355718144,2017-12-14 03:02:15,@sadgirlkms @toastmama I came too late
936783858141237248,2017-12-02 02:27:31,"https://t.co/G0LmQVyNOx

Ladies &amp; Gentlemen...

Captain Falcon in his Feelings."
928670556089708545,2017-11-09 17:08:09,Daniel Caesar is the gender/ time-warped version of Tracy Chapman
923548929131675648,2017-10-26 13:56:38,Android**** 13 https://t.co/s15JoN65sv
922677737671753728,2017-10-24 04:14:49,Aylmer vibes #ThatArt https://t.co/ew0FQZ2k6f
907668069253832704,2017-09-12 18:11:46,@BeyCapital @Rhis97 Those are ornaments
907207964930531328,2017-09-11 11:43:28,"@CBCToronto ""Fuck the degree, I was tryna beat a case"""
905283392509550593,2017-09-06 04:15:54,Jesus Christ https://t.co/kUkgtLXaeR
904796175823511552,2017-09-04 19:59:53,@JoshLosaw @mmaakkaaii @yvngtatiana Blessed -@DanielCaesar
904467854963113985,2017-09-03 22:15:15,@FrencHMonTanA at uOttawa Fedstock is the biggest slap to my non-freshman ass since that 3 hr limit was introduced at the 24/7 Dining Hall 😕
898810629657460736,2017-08-19 07:35:27,@_emilyy___ https://t.co/E4nnBZIMn9 because its bound... #GloUp
898343796953366529,2017-08-18 00:40:26,Bae https://t.co/85eDmlnmiD
897480598595317761,2017-08-15 15:30:23,"@Bell_Support hopefully you can look into this, if you guys care. https://t.co/OA3KqlLmOw"
