id,created_at,text
1242135740051533832,2020-03-23 17:06:52,@hyousefi6 @lilehh4 @AncGives @AncGaws @_jnguyenn @DiwaB I already have it. https://t.co/fZpdcXrecG
1175963289572007936,2019-09-23 02:41:11,I kill myself somtimes. https://t.co/Uf4VCWSpT5
1107254362101952513,2019-03-17 12:16:26,@swmouks @kashmiribby @Wiconnollyau
1105593347266301952,2019-03-12 22:16:09,"This dude just threw a hissy fit in the group chat, then hit us with “don’t talk to me anymore”..... https://t.co/6P3VHoY4T1"
1105592991815737345,2019-03-12 22:14:44,Group projects are literally the worst.
1098629786522603520,2019-02-21 17:05:27,"There’s a lot of things wrong he has done, but this is one thing I can fully agree one. https://t.co/mbDCVGFs92"
1089633195698597889,2019-01-27 21:16:12,"@ezmoneysniper26 @allylaurenmcq Autocorrect is based on 3 factors, one of which is if the replacement word for the incorrect word can be found in the users “dynamic dictionary“. Which means a user has to use a certain word enough time for autocorrect to actually replace it with an incorrect one..."
1080674806293561345,2019-01-03 03:58:46,I think not being able to see our cats is one of the toughest parts of cutting a girl off.
1043358513018400769,2018-09-22 04:37:08,"Tornado in Ottawa, the world really be coming to an end soon eh."
1042495580600262656,2018-09-19 19:28:09,I have a dress code at my office and today my manager called me a fucking loser for going to class dressed like that...this must be some sort of harassment.
1037461591678218240,2018-09-05 22:04:53,Safe to say that’s gonna be the most exciting thing to happen to me all semester.
1037461506802286592,2018-09-05 22:04:32,"Jokes on you, after getting roasted by my boys, nothing phases me anymore."
1037461165348216832,2018-09-05 22:03:11,In front of everyone to try to phase me.
1037460915304714241,2018-09-05 22:02:11,Did not expect this girl to wait for me till after class just to call me out.
1036791594782023680,2018-09-04 01:42:33,I miss my fucking cats.
1036786684770373632,2018-09-04 01:23:02,That was my peak in life. It’s all downhill from here.
1036786383480922112,2018-09-04 01:21:51,ImSchmacked DMed me and asked me to be a brand ambassador and I curved them. Pretty sure I just missed out on my chance to be insta famous.
1032463755249168390,2018-08-23 03:05:16,Smh https://t.co/4UuR4SwjFh
1032098302165172224,2018-08-22 02:53:05,"I 100% agree with firing her. Her first tweet was fine and can be attributed to her excitement, but no need to let it go to your head and deliberately be aggressively rude to someone, especially Homer Hickam. https://t.co/k1DTa8dgS6"
1031610655818674176,2018-08-20 18:35:21,Having a manager that actually cares makes a huge fucking difference.
1030211534658723840,2018-08-16 21:55:44,I think Meghan Markle leaving Suits is one of the most selfish things ever.
1030104234518142976,2018-08-16 14:49:22,This fall weather is too nice.
1026191783267577856,2018-08-05 19:42:41,Stay Dangerous is so much better and it’ll go unnoticed.
1026191683170586624,2018-08-05 19:42:17,People are just hyping it up because it’s Travis.
1026191605697597440,2018-08-05 19:41:59,Astrowold is trash.
1021380506036736001,2018-07-23 13:04:23,People dont realize how much of an impact the people you surround yourself with have on you.
1019527332606959617,2018-07-18 10:20:32,"I think the saddest part of cutting a girl out, is not being able to see her pets anymore."
1013560786927718401,2018-07-01 23:11:37,After yesterday I realize how lucky I am to have such great family and friends.
1008917900881813504,2018-06-19 03:42:27,Everyone’s all of a sudden gonna be an X fan now.
1004804143167373312,2018-06-07 19:15:50,Proceeded*
1004804070761062400,2018-06-07 19:15:33,This guys also a super high rank in the military. #ImFuckingDead
